lead_id,facility_name,address,city,state,zip_code,phone,ownership_type,chain_name,overall_rating,health_inspection_rating,survey_date,scope_severity_code,severity_rank,citation_status,correction_date,from_complaint,infection_control_related,deficiency_description,citation_count,matched_tags,propublica_search_url
8537f0be699c,PARK BEND REHABILITATION AND HEALTHCARE CENTER,301 HUGULEY BLVD,BURLESON,TX,76028,8175515900,Government - Hospital district,MOMENTUM SKILLED SERVICES,2,1,2026-03-11,K,4,"Deficient, Provider has date of correction",2026-03-12,Y,N,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",2,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=PARK%20BEND%20REHABILITATION%20AND%20HEALTHCARE%20CENTER
36a592ef49b7,ROCHESTER RESIDENCE AND CARE CENTER,174 VIRGINIA AVENUE,ROCHESTER,PA,15074,7247756400,For profit - Limited Liability company,POLLAK HOLDINGS,,,2026-01-31,L,4,"Deficient, Provider has date of correction",2026-03-09,Y,N,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",8,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=ROCHESTER%20RESIDENCE%20AND%20CARE%20CENTER
7c81df211c78,STELLAR CARE CENTER,47045 MOORE RIDGE ROAD,WOODSFIELD,OH,43793,7404720144,For profit - Limited Liability company,LIONSTONE CARE,1,1,2025-09-30,J,4,"Deficient, Provider has date of correction",2025-10-20,Y,N,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",2,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=STELLAR%20CARE%20CENTER
fb3c7c2350fa,Harmony Care at Giddings,1181 N Williamson,Giddings,TX,78942,9795423611,For profit - Partnership,HARMONY CARE GROUP,1,1,2025-05-20,K,4,"Deficient, Provider has date of correction",2025-06-24,Y,N,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",2,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=Harmony%20Care%20at%20Giddings
15cb49f79700,Castle Hills Rehabilitation and Care Center,8020 Blanco Rd,San Antonio,TX,78216,2103444553,For profit - Limited Liability company,OPTIMA CARE,1,1,2025-05-02,J,4,"Deficient, Provider has date of correction",2025-05-03,Y,N,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",2,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=Castle%20Hills%20Rehabilitation%20and%20Care%20Center
8e635e928940,The Banyan at Montclair,2525 South 135th Avenue,Omaha,NE,68144,4023332304,For profit - Limited Liability company,AVID HEALTHCARE GROUP,,,2025-02-24,L,4,"Deficient, Provider has date of correction",2025-04-21,Y,N,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",4,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=The%20Banyan%20at%20Montclair
44e416cdfcfe,SUNNY ACRES NURSING HOME,19130 SUNNY ACRES ROAD,PETERSBURG,IL,62675,2176322334,For profit - Individual,HERITAGE OPERATIONS GROUP,1,1,2025-01-27,J,4,"Deficient, Provider has date of correction",2025-02-18,Y,N,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",3,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=SUNNY%20ACRES%20NURSING%20HOME
dec5f950a94f,GRAND MANOR NURSING & REHABILITATION CENTER,700 WHITE PLAINS ROAD,BRONX,NY,10473,7185188892,For profit - Corporation,,,,2024-12-19,L,4,"Deficient, Provider has date of correction",2025-02-20,Y,N,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",2,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=GRAND%20MANOR%20NURSING%20%26%20REHABILITATION%20CENTER
eee170e3c6d6,TANGLEWOOD NURSING & REHABILITATION,5015 SW 28TH STREET,TOPEKA,KS,66614,7852730886,For profit - Corporation,HMG HEALTHCARE,1,1,2024-10-17,K,4,"Deficient, Provider has date of correction",2024-12-05,Y,N,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",2,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=TANGLEWOOD%20NURSING%20%26%20REHABILITATION
837dff30a231,Vero Health & Rehab of Sylva,417 Cloverdale Road,Sylva,NC,28779,8286311600,For profit - Limited Liability company,REGIONAL HEALTH PROPERTIES,1,1,2024-07-30,K,4,"Deficient, Provider has date of correction",2024-08-20,Y,N,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",4,"0584,0690",https://projects.propublica.org/nursing-homes/findings/search?search=Vero%20Health%20%26%20Rehab%20of%20Sylva
